"Country or Area","Year","Value"
"Belgium","2002","126878.582126558"
"Belgium","2001","126084.684409971"
"Belgium","2000","126735.296267877"
"Belgium","1999","124718.898266857"
"Belgium","1998","130227.109709565"
"Belgium","1997","124001.76432726"
"Belgium","1996","129496.580209897"
"Belgium","1995","125956.472619374"
"Belgium","1994","124816.904357336"
"Belgium","1993","121444.204570843"
"Belgium","1992","122507.842211766"
"Belgium","1991","123382.082307765"
"Belgium","1990","120309.34284971"
"Bulgaria","2018","43551.599048709"
"Bulgaria","2017","47505.16352595"
"Bulgaria","2016","45353.723417232"
"Bulgaria","2015","48194.2799893116"
"Bulgaria","2014","45169.3296886434"
"Bulgaria","2013","42649.5076910971"
"Bulgaria","2012","48349.0085369352"
"Bulgaria","2011","53178.0436090909"
"Bulgaria","2010","47862.9303891247"
"Bulgaria","2009","45773.7710199153"
"Bulgaria","2008","54079.5574525907"
"Bulgaria","2007","55740.8447678207"
"Bulgaria","2006","51895.2191096203"
"Bulgaria","2005","50656.426636575"
"Bulgaria","2004","49570.7306344279"
"Bulgaria","2003","50509.6689174236"
"Bulgaria","2002","46258.5728538918"
"Bulgaria","2001","49014.1362462771"
"Bulgaria","2000","45305.031895079"
"Bulgaria","1999","46369.9838000907"
"Bulgaria","1998","53275.2170483312"
"Bulgaria","1997","55861.2693878692"
"Bulgaria","1996","58108.019719584"
"Bulgaria","1995","57716.3659311274"
"Bulgaria","1994","56083.5266147436"
"Bulgaria","1993","57675.6371886381"
"Bulgaria","1992","57010.4320427525"
"Bulgaria","1991","61232.5967315523"
"Bulgaria","1990","76698.9750767925"
"Canada","2018","586504.634542466"
"Canada","2017","572834.389442262"
"Canada","2016","564032.530027391"
"Canada","2015","575906.938645282"
"Canada","2014","575942.178811822"
"Canada","2013","576327.006234054"
"Canada","2012","569737.013024553"
"Canada","2011","566740.990959863"
"Canada","2010","555549.849476423"
"Canada","2009","542549.599765392"
"Canada","2008","575586.90796111"
"Canada","2007","594220.570759443"
"Canada","2006","570950.380878791"
"Canada","2005","576434.463847342"
"Canada","2004","585703.097963365"
"Canada","2003","587178.148867368"
"Canada","2002","570844.777611729"
"Canada","2001","564946.398072384"
"Canada","2000","572162.102863972"
"Canada","1999","549553.212013035"
"Canada","1998","533639.792821814"
"Canada","1997","524789.166836941"
"Canada","1996","510736.656417936"
"Canada","1995","494920.254788246"
"Canada","1994","482436.578674902"
"Canada","1993","467406.41099046"
"Canada","1992","467037.420143524"
"Canada","1991","452494.723086163"
"Canada","1990","462117.351149139"
"Croatia","2018","17718.6455724821"
"Croatia","2017","18737.6890371586"
"Croatia","2016","18105.0437764013"
"Croatia","2015","17840.7506872716"
"Croatia","2014","17704.9852778555"
"Croatia","2013","18454.6220097767"
"Croatia","2012","19114.7790291044"
"Croatia","2011","20682.4392444931"
"Croatia","2010","21050.859675384"
"Croatia","2009","21837.8014359227"
"Croatia","2008","23628.577726183"
"Croatia","2007","24843.8124351008"
"Croatia","2006","23529.4537376032"
"Croatia","2005","23330.0985764962"
"Croatia","2004","22916.8279594735"
"Croatia","2003","23268.2098760778"
"Croatia","2002","21912.7368743211"
"Croatia","2001","20806.7359711193"
"Croatia","2000","19694.4482097339"
"Croatia","1999","20115.455439737"
"Croatia","1998","19278.9034772627"
"Croatia","1997","18575.8786814894"
"Croatia","1996","17515.2663497201"
"Croatia","1995","16926.3357695294"
"Croatia","1994","16214.2221866827"
"Croatia","1993","16959.7805739569"
"Croatia","1992","16506.0770001773"
"Croatia","1991","17182.3020573119"
"Croatia","1990","23329.2494340722"
"Cyprus","2018","7332.76185278891"
"Cyprus","2017","7515.68816517893"
"Cyprus","2016","7368.22785657742"
"Cyprus","2015","6960.12949612624"
"Cyprus","2014","6934.59192710437"
"Cyprus","2013","6554.36404601499"
"Cyprus","2012","7234.89236961658"
"Cyprus","2011","7759.46771834195"
"Cyprus","2010","8089.01126735049"
"Cyprus","2009","8453.79757023243"
"Cyprus","2008","8707.2531713148"
"Cyprus","2007","8538.9183257027"
"Cyprus","2006","8223.17449176942"
"Cyprus","2005","8031.30067352799"
"Cyprus","2004","7840.93899649826"
"Cyprus","2003","7605.5506262951"
"Cyprus","2002","7210.77866207421"
"Cyprus","2001","7021.41200950456"
"Cyprus","2000","7145.88033313555"
"Cyprus","1999","6882.46970730666"
"Cyprus","1998","6614.64910415714"
"Cyprus","1997","6321.03013472391"
"Cyprus","1996","6233.22977494178"
"Cyprus","1995","5882.26612282574"
"Cyprus","1994","6011.11322836987"
"Cyprus","1993","5766.97401461705"
"Cyprus","1992","5522.90561895422"
"Cyprus","1991","5146.60855540231"
"Cyprus","1990","4656.89357909686"
"Czechia","2018","104411.210688469"
"Czechia","2017","105641.726351171"
"Czechia","2016","106629.020365921"
"Czechia","2015","104815.37684623"
"Czechia","2014","104049.879538199"
"Czechia","2013","106427.45894163"
"Czechia","2012","110955.164604466"
"Czechia","2011","115060.25937587"
"Czechia","2010","117500.711769433"
"Czechia","2009","115193.743442035"
"Czechia","2008","122941.37326182"
"Czechia","2007","128264.329658795"
"Czechia","2006","126449.454548873"
"Czechia","2005","125671.941770852"
"Czechia","2004","128113.811132993"
"Czechia","2003","127382.803367257"
"Czechia","2002","123895.622125869"
"Czechia","2001","126957.555363238"
"Czechia","2000","127066.453950034"
"Czechia","1999","116623.428290961"
"Czechia","1998","125317.669241827"
"Czechia","1997","130733.0672073"
"Czechia","1996","134962.545911559"
"Czechia","1995","131608.25952709"
"Czechia","1994","132376.136876739"
"Czechia","1993","138637.287763167"
"Czechia","1992","144619.022012991"
"Czechia","1991","148894.127444014"
"Czechia","1990","164204.205712975"
"Denmark","2018","36246.2048229019"
"Denmark","2017","36213.2522774059"
"Denmark","2016","38301.0244931202"
"Denmark","2015","36493.9948537237"
"Denmark","2014","38866.7286499695"
"Denmark","2013","43079.3293409319"
"Denmark","2012","41218.2356733"
"Denmark","2011","45652.2788281635"
"Denmark","2010","50678.3061902569"
"Denmark","2009","50184.6891968054"
"Denmark","2008","52640.3662936756"
"Denmark","2007","56102.0354321429"
"Denmark","2006","60858.6853489123"
"Denmark","2005","52932.0006859352"
"Denmark","2004","56499.8132024679"
"Denmark","2003","62055.93279593"
"Denmark","2002","56895.5388693198"
"Denmark","2001","57322.6787148713"
"Denmark","2000","55609.6855353788"
"Denmark","1999","59842.6191053397"
"Denmark","1998","62395.8923553863"
"Denmark","1997","66603.0750402039"
"Denmark","1996","75987.0122095032"
"Denmark","1995","62655.7725719069"
"Denmark","1994","65699.5656561103"
"Denmark","1993","61682.5960905652"
"Denmark","1992","59595.5885790738"
"Denmark","1991","65428.3455260962"
"Denmark","1990","54845.6744775156"
"Estonia","2018","17710.9527043212"
"Estonia","2017","18635.8722015885"
"Estonia","2016","17377.6503103256"
"Estonia","2015","15813.4044354123"
"Estonia","2014","18755.948585174"
"Estonia","2013","19551.9531140066"
"Estonia","2012","17684.9753949903"
"Estonia","2011","18855.1246877163"
"Estonia","2010","18784.9606173505"
"Estonia","2009","14339.0093729183"
"Estonia","2008","17668.1172407568"
"Estonia","2007","19838.5633966356"
"Estonia","2006","16208.805417015"
"Estonia","2005","16921.6202521054"
"Estonia","2004","17201.0127796417"
"Estonia","2003","16937.2313518201"
"Estonia","2002","15090.487218908"
"Estonia","2001","15576.7339780734"
"Estonia","2000","15244.1880749353"
"Estonia","1999","15653.3480978407"
"Estonia","1998","16817.2473364229"
"Estonia","1997","18317.2753937448"
"Estonia","1996","18759.5249872163"
"Estonia","1995","18048.8299926425"
"Estonia","1994","19734.0494457627"
"Estonia","1993","18910.3613835422"
"Estonia","1992","24370.4619672399"
"Estonia","1991","33901.774830474"
"Estonia","1990","36907.2375398999"
"European Union","2018","3432017.49574093"
"European Union","2017","3513036.18225618"
"European Union","2016","3500042.73949219"
"European Union","2015","3518768.0005505"
"European Union","2014","3480937.31805591"
"European Union","2013","3655077.46194149"
"European Union","2012","3745971.32736509"
"European Union","2011","3803658.28965926"
"European Union","2010","3951411.91431182"
"European Union","2009","3832105.82022217"
"European Union","2008","4172947.61323661"
"European Union","2007","4272760.08079702"
"European Union","2006","4319665.13862076"
"European Union","2005","4313650.0929451"
"European Union","2004","4336433.66053044"
"European Union","2003","4324440.21597734"
"European Union","2002","4228876.17516888"
"European Union","2001","4243023.9420195"
"European Union","2000","4177734.74063454"
"European Union","1999","4158896.76715251"
"European Union","1998","4224534.8662296"
"European Union","1997","4227943.48286304"
"European Union","1996","4317840.9943919"
"European Union","1995","4212988.59700069"
"European Union","1994","4169946.81164452"
"European Union","1993","4187802.39149633"
"European Union","1992","4271808.70308717"
"European Union","1991","4413593.52793634"
"European Union","1990","4466227.83368469"
"Finland","2018","45849.3493987134"
"Finland","2017","44673.0634245979"
"Finland","2016","47227.5475650672"
"Finland","2015","44113.7137355077"
"Finland","2014","47643.8632832177"
"Finland","2013","51750.9593461073"
"Finland","2012","51222.1466565397"
"Finland","2011","56665.6520503144"
"Finland","2010","64099.4513237666"
"Finland","2009","55924.3651900131"
"Finland","2008","58609.6185514801"
"Finland","2007","66760.3029952172"
"Finland","2006","68384.4227742571"
"Finland","2005","57042.8982041203"
"Finland","2004","68960.7548572691"
"Finland","2003","72657.82079628"
"Finland","2002","65059.791570341"
"Finland","2001","62536.2059866187"
"Finland","2000","57038.2471515761"
"Finland","1999","58894.769950879"
"Finland","1998","59373.2560931243"
"Finland","1997","62722.9924220393"
"Finland","1996","64062.4092860885"
"Finland","1995","58145.4431090716"
"Finland","1994","61716.2022160394"
"Finland","1993","56352.5530721308"
"Finland","1992","54285.5264761443"
"Finland","1991","55230.4040849182"
"Finland","1990","56971.874271446"
"France","2018","338327.096421297"
"France","2017","352178.983611535"
"France","2016","347095.62459045"
"France","2015","344096.978139489"
"France","2014","339492.915843056"
"France","2013","370548.990871462"
"France","2012","368311.772581799"
"France","2011","367051.083058466"
"France","2010","393717.818529277"
"France","2009","385421.583706487"
"France","2008","401422.869864192"
"France","2007","409033.413473519"
"France","2006","419737.020157107"
"France","2005","430528.27758708"
"France","2004","427117.576492321"
"France","2003","426145.699954993"
"France","2002","419347.504788213"
"France","2001","424005.850536512"
"France","2000","419232.282969929"
"France","1999","424600.505776661"
"France","1998","428344.355226331"
"France","1997","408989.958998911"
"France","1996","415941.019848892"
"France","1995","400239.115442511"
"France","1994","393368.863483863"
"France","1993","397655.363749159"
"France","1992","418231.023879481"
"France","1991","428927.106679341"
"France","1990","403307.236177174"
"Germany","2018","755362.342455585"
"Germany","2017","786654.551411376"
"Germany","2016","800510.288476534"
"Germany","2015","795816.358715061"
"Germany","2014","792684.873997206"
"Germany","2013","831316.278977669"
"Germany","2012","813893.12080289"
"Germany","2011","809426.949833717"
"Germany","2010","832669.735135068"
"Germany","2009","790195.717336015"
"Germany","2008","854706.334353909"
"Germany","2007","851383.304869504"
"Germany","2006","877997.390977238"
"Germany","2005","866388.548679081"
"Germany","2004","886965.973669802"
"Germany","2003","900866.405408944"
"Germany","2002","899821.052898805"
"Germany","2001","916366.135188787"
"Germany","2000","899780.198208709"
"Germany","1999","895642.93095689"
"Germany","1998","923275.908728203"
"Germany","1997","931230.07006033"
"Germany","1996","959124.130272961"
"Germany","1995","939176.703608385"
"Germany","1994","939630.279254017"
"Germany","1993","956233.107652013"
"Germany","1992","965889.812792495"
"Germany","1991","1014199.71521822"
"Germany","1990","1052348.54443457"
"Greece","2018","71797.8690987943"
"Greece","2017","74852.8458947514"
"Greece","2016","71368.3612573769"
"Greece","2015","74957.9049084326"
"Greece","2014","78659.7957440759"
"Greece","2013","81735.053637325"
"Greece","2012","91430.0996005176"
"Greece","2011","94549.5772908435"
"Greece","2010","97361.5039773485"
"Greece","2009","104354.752916408"
"Greece","2008","111125.241614693"
"Greece","2007","114592.335161648"
"Greece","2006","112472.437506665"
"Greece","2005","113930.966895994"
"Greece","2004","109546.749153552"
"Greece","2003","109089.753810943"
"Greece","2002","105020.956638142"
"Greece","2001","105385.700419808"
"Greece","2000","102999.025886454"
"Greece","1999","97958.3784914008"
"Greece","1998","98641.499372073"
"Greece","1997","93820.9323821188"
"Greece","1996","89132.0077404819"
"Greece","1995","86979.0976940621"
"Greece","1994","86442.1768338889"
"Greece","1993","84296.3663014509"
"Greece","1992","84982.7106282307"
"Greece","1991","83401.1206733625"
"Greece","1990","83425.5481500187"
"Hungary","2018","49628.490982072"
"Hungary","2017","49684.8471645542"
"Hungary","2016","47395.7098085976"
"Hungary","2015","46627.6133530015"
"Hungary","2014","43862.711091479"
"Hungary","2013","43704.8054948814"
"Hungary","2012","46776.6781403574"
"Hungary","2011","50322.1456635078"
"Hungary","2010","52123.6780411305"
"Hungary","2009","51774.9657203118"
"Hungary","2008","57530.8150412234"
"Hungary","2007","58688.6259516226"
"Hungary","2006","59915.3810922813"
"Hungary","2005","60606.5273317791"
"Hungary","2004","60489.9170971114"
"Hungary","2003","61981.4713723319"
"Hungary","2002","59197.0046477252"
"Hungary","2001","60238.800926392"
"Hungary","2000","58608.2748691238"
"Hungary","1999","61911.6021323732"
"Hungary","1998","61415.0010858142"
"Hungary","1997","61813.1391979355"
"Hungary","1996","63257.5198319678"
"Hungary","1995","61690.7738764767"
"Hungary","1994","61973.5116749879"
"Hungary","1993","63632.7619824292"
"Hungary","1992","62415.941917704"
"Hungary","1991","69784.5192033522"
"Hungary","1990","73464.8538219331"
"Iceland","2018","3674.52850638943"
"Iceland","2017","3614.87329421355"
"Iceland","2016","3497.53889688049"
"Iceland","2015","3545.25516413949"
"Iceland","2014","3469.68187077725"
"Iceland","2013","3492.77172514825"
"Iceland","2012","3502.88574774364"
"Iceland","2011","3510.63875461921"
"Iceland","2010","3660.12466719635"
"Iceland","2009","3740.1796060044"
"Iceland","2008","3824.94058092331"
"Iceland","2007","3512.09802280345"
"Iceland","2006","3164.40279141499"
"Iceland","2005","2985.96875812217"
"Iceland","2004","3116.88701942054"
"Iceland","2003","2994.55250332333"
"Iceland","2002","3000.52232232672"
"Iceland","2001","2875.24223493072"
"Iceland","2000","2946.46686361023"
"Iceland","1999","2853.95492474529"
"Iceland","1998","2647.85612699632"
"Iceland","1997","2627.51359856503"
"Iceland","1996","2532.04240702608"
"Iceland","1995","2476.69997815258"
"Iceland","1994","2373.29666538653"
"Iceland","1993","2432.16201626737"
"Iceland","1992","2274.26706705902"
"Iceland","1991","2128.40965980434"
"Iceland","1990","2247.80292086045"
"Ireland","2018","38803.3937724537"
"Ireland","2017","38910.192717045"
"Ireland","2016","40029.8365838452"
"Ireland","2015","38545.3302770518"
"Ireland","2014","36785.326520522"
"Ireland","2013","37235.3029534484"
"Ireland","2012","38209.5911496161"
"Ireland","2011","38052.2225963057"
"Ireland","2010","41747.9285976408"
"Ireland","2009","42179.5383695398"
"Ireland","2008","47366.2460993392"
"Ireland","2007","47665.1296631784"
"Ireland","2006","47603.9378150257"
"Ireland","2005","48155.535141546"
"Ireland","2004","46166.92555071"
"Ireland","2003","45683.9694440575"
"Ireland","2002","46081.9841328883"
"Ireland","2001","47607.4165209804"
"Ireland","2000","45248.9951753897"
"Ireland","1999","42440.0759845439"
"Ireland","1998","40708.8498524021"
"Ireland","1997","38805.2391127187"
"Ireland","1996","37469.1487566848"
"Ireland","1995","35852.6671194269"
"Ireland","1994","34838.1523119764"
"Ireland","1993","33716.1790147297"
"Ireland","1992","33494.9281671375"
"Ireland","1991","33674.0092451123"
"Ireland","1990","32944.3277756795"
"Italy","2018","348085.029259785"
"Italy","2017","351473.93294538"
"Italy","2016","356556.196027575"
"Italy","2015","360088.1778139"
"Italy","2014","347860.803522809"
"Italy","2013","367568.71230315"
"Italy","2012","401554.708582207"
"Italy","2011","422039.47517146"
"Italy","2010","433688.023903586"
"Italy","2009","422624.187307513"
"Italy","2008","476229.970792145"
"Italy","2007","487693.305512201"
"Italy","2006","495124.198432933"
"Italy","2005","500005.676339257"
"Italy","2004","499619.392973289"
"Italy","2003","494183.286884902"
"Italy","2002","476251.235956733"
"Italy","2001","468642.862531697"
"Italy","2000","468442.086348554"
"Italy","1999","464548.481049407"
"Italy","1998","460049.199121092"
"Italy","1997","448044.941141219"
"Italy","1996","442277.406090101"
"Italy","1995","448332.906183622"
"Italy","1994","424581.72076242"
"Italy","1993","430179.958454536"
"Italy","1992","437829.803945848"
"Italy","1991","437538.596512975"
"Italy","1990","438008.802199713"
"Japan","2018","1135688.00020241"
"Japan","2017","1187661.45386819"
"Japan","2016","1203167.01767453"
"Japan","2015","1222781.31475903"
"Japan","2014","1263049.94200598"
"Japan","2013","1314702.9994073"
"Japan","2012","1305432.85047807"
"Japan","2011","1264155.1270142"
"Japan","2010","1214068.55631317"
"Japan","2009","1162647.86628282"
"Japan","2008","1231909.52457059"
"Japan","2007","1302524.28495402"
"Japan","2006","1266828.60601604"
"Japan","2005","1290056.276701"
"Japan","2004","1282872.08285675"
"Japan","2003","1287642.18171146"
"Japan","2002","1279452.9647103"
"Japan","2001","1250211.04624365"
"Japan","2000","1264844.26063492"
"Japan","1999","1242015.30712131"
"Japan","1998","1205416.31928698"
"Japan","1997","1245112.03393073"
"Japan","1996","1251867.56918393"
"Japan","1995","1239928.15849454"
"Japan","1994","1227566.84007559"
"Japan","1993","1172647.30939245"
"Japan","1992","1179740.09775167"
"Japan","1991","1170065.7288122"
"Japan","1990","1158391.31118915"
"Latvia","2018","7859.28703094824"
"Latvia","2017","7222.7844905141"
"Latvia","2016","7220.75142852372"
"Latvia","2015","7272.70500469571"
"Latvia","2014","7182.63397559017"
"Latvia","2013","7381.9889397502"
"Latvia","2012","7515.2108803138"
"Latvia","2011","7805.39954672233"
"Latvia","2010","8548.87875930203"
"Latvia","2009","7451.91760415792"
"Latvia","2008","8192.81853495034"
"Latvia","2007","8631.98906677741"
"Latvia","2006","8305.734197949"
"Latvia","2005","7806.67626497519"
"Latvia","2004","7727.75569807799"
"Latvia","2003","7722.59047462213"
"Latvia","2002","7502.60817133935"
"Latvia","2001","7474.38995771827"
"Latvia","2000","7064.71592682912"
"Latvia","1999","7695.96860030688"
"Latvia","1998","8280.68815337427"
"Latvia","1997","8645.95219191048"
"Latvia","1996","9170.26786427484"
"Latvia","1995","9090.3076346425"
"Latvia","1994","10296.752129648"
"Latvia","1993","11818.6406113667"
"Latvia","1992","14079.8294200053"
"Latvia","1991","17783.1202562515"
"Latvia","1990","19504.1309234086"
"Liechtenstein","2018","143.749839455852"
"Liechtenstein","2017","156.280011804227"
"Liechtenstein","2016","149.880558815378"
"Liechtenstein","2015","159.711343350088"
"Liechtenstein","2014","161.238716190272"
"Liechtenstein","2013","192.53702097383"
"Liechtenstein","2012","185.31481906203"
"Liechtenstein","2011","176.776956798351"
"Liechtenstein","2010","190.808156025799"
"Liechtenstein","2009","205.354339812109"
"Liechtenstein","2008","219.507244021122"
"Liechtenstein","2007","200.767422348734"
"Liechtenstein","2006","231.098671603226"
"Liechtenstein","2005","228.96964276856"
"Liechtenstein","2004","229.380487768075"
"Liechtenstein","2003","229.346078636479"
"Liechtenstein","2002","220.012063927523"
"Liechtenstein","2001","214.664580488927"
"Liechtenstein","2000","216.854032789675"
"Liechtenstein","1999","226.560381588969"
"Liechtenstein","1998","229.232619043615"
"Liechtenstein","1997","218.371012550569"
"Liechtenstein","1996","205.958796841394"
"Liechtenstein","1995","204.19997612085"
"Liechtenstein","1994","201.109449948782"
"Liechtenstein","1993","215.03232796014"
"Liechtenstein","1992","206.948071672218"
"Liechtenstein","1991","206.326470539648"
"Liechtenstein","1990","198.967925612674"
"Lithuania","2018","13669.4919754163"
"Lithuania","2017","13545.8474876892"
"Lithuania","2016","13327.5133241042"
"Lithuania","2015","13297.1427973495"
"Lithuania","2014","13087.4701343799"
"Lithuania","2013","13340.2687330024"
"Lithuania","2012","14330.8289402948"
"Lithuania","2011","14271.0769800848"
"Lithuania","2010","13926.7388560843"
"Lithuania","2009","13022.7679520861"
"Lithuania","2008","15179.1617992972"
"Lithuania","2007","15797.7873514163"
"Lithuania","2006","14408.0108486811"
"Lithuania","2005","14091.0759457025"
"Lithuania","2004","13272.3428701303"
"Lithuania","2003","12679.8670936187"
"Lithuania","2002","12690.0057602331"
"Lithuania","2001","12621.3656534034"
"Lithuania","2000","11873.9186455427"
"Lithuania","1999","13476.9603730767"
"Lithuania","1998","16039.6999792489"
"Lithuania","1997","15182.2078409743"
"Lithuania","1996","15757.6305015578"
"Lithuania","1995","15084.4804331329"
"Lithuania","1994","15788.2662671884"
"Lithuania","1993","16348.048682982"
"Lithuania","1992","21200.577166719"
"Lithuania","1991","37851.5885217633"
"Lithuania","1990","35771.8157080354"
"Luxembourg","2018","9568.51953368545"
"Luxembourg","2017","9250.40212663893"
"Luxembourg","2016","9080.25282693925"
"Luxembourg","2015","9333.16889945848"
"Luxembourg","2014","9825.21586286149"
"Luxembourg","2013","10303.8722713382"
"Luxembourg","2012","10851.3991139457"
"Luxembourg","2011","11114.5548217397"
"Luxembourg","2010","11219.2942964271"
"Luxembourg","2009","10647.821340394"
"Luxembourg","2008","11195.2463438773"
"Luxembourg","2007","11333.5839357874"
"Luxembourg","2006","11936.2842632925"
"Luxembourg","2005","12105.4480609916"
"Luxembourg","2004","11844.3064615053"
"Luxembourg","2003","10476.0186989438"
"Luxembourg","2002","10003.0487452456"
"Luxembourg","2001","9226.36684569111"
"Luxembourg","2000","8731.56638378884"
"Luxembourg","1999","8147.98398291498"
"Luxembourg","1998","7695.0730252987"
"Luxembourg","1997","8573.10645266367"
"Luxembourg","1996","9219.90764062443"
"Luxembourg","1995","9170.29950974537"
"Luxembourg","1994","11563.9282121999"
"Luxembourg","1993","12372.806055811"
"Luxembourg","1992","12232.160311753"
"Luxembourg","1991","12465.7877967775"
"Luxembourg","1990","11847.635442146"
"Malta","2018","1531.58072622999"
"Malta","2017","1552.99839832623"
"Malta","2016","1399.48764230635"
"Malta","2015","1735.29588043232"
"Malta","2014","2442.39566061966"
"Malta","2013","2437.84053423398"
"Malta","2012","2762.07470760125"
"Malta","2011","2578.07234188238"
"Malta","2010","2581.75885927079"
"Malta","2009","2532.56842377362"
"Malta","2008","2747.13215957136"
"Malta","2007","2735.72320641265"
"Malta","2006","2665.94446943937"
"Malta","2005","2654.25577102174"
"Malta","2004","2846.41052992359"
"Malta","2003","2979.28095586039"
"Malta","2002","2707.48091404929"
"Malta","2001","2665.17144778351"
"Malta","2000","2545.52171918158"
"Malta","1999","2627.59417415594"
"Malta","1998","2545.13408682323"
"Malta","1997","2586.18766734247"
"Malta","1996","2578.44638570939"
"Malta","1995","2460.2689108789"
"Malta","1994","2669.72235318447"
"Malta","1993","2891.12550751473"
"Malta","1992","2314.9023423236"
"Malta","1991","2255.38870041539"
"Malta","1990","2408.46332514049"
"Monaco","2018","74.7550712006915"
"Monaco","2017","73.0533014093414"
"Monaco","2016","74.6558093274817"
"Monaco","2015","74.3615437231448"
"Monaco","2014","73.886400033158"
"Monaco","2013","78.80966798265"
"Monaco","2012","78.0476897695046"
"Monaco","2011","75.0107829107585"
"Monaco","2010","77.6919933828818"
"Monaco","2009","79.1637583192536"
"Monaco","2008","82.3529546105126"
"Monaco","2007","82.7684235598408"
"Monaco","2006","84.0080085970913"
"Monaco","2005","90.3112283324114"
"Monaco","2004","91.8793252541643"
"Monaco","2003","97.0507077511893"
"Monaco","2002","99.7398656493156"
"Monaco","2001","100.010594528044"
"Monaco","2000","100.305373333011"
"Monaco","1999","102.771498101701"
"Monaco","1998","102.068595333327"
"Monaco","1997","103.193469033821"
"Monaco","1996","104.707975903776"
"Monaco","1995","101.196287565613"
"Monaco","1994","104.410591895158"
"Monaco","1993","103.599056843384"
"Monaco","1992","104.510329341545"
"Monaco","1991","98.9081435670137"
"Monaco","1990","98.227705387591"
"Netherlands","2018","160170.147439641"
"Netherlands","2017","164444.773768704"
"Netherlands","2016","166282.089728861"
"Netherlands","2015","166366.655865468"
"Netherlands","2014","158768.01234911"
"Netherlands","2013","165717.877810591"
"Netherlands","2012","165827.027252846"
"Netherlands","2011","169065.734256756"
"Netherlands","2010","182117.938134422"
"Netherlands","2009","170167.74143354"
"Netherlands","2008","175481.511022412"
"Netherlands","2007","172587.180339288"
"Netherlands","2006","172686.523341534"
"Netherlands","2005","177459.005110619"
"Netherlands","2004","181381.76585373"
